event_id,date,event_name,category,description,price_impact,source_url
1,1990-08-02,Iraqi Invasion of Kuwait,Geopolitical / Supply Shock,"Iraq's invasion halted a combined 4.3 million barrels/day of Iraqi and Kuwaiti output. Average monthly oil prices rose from $17/barrel in July 1990 to $36/barrel by October 1990.",Increase,https://en.wikipedia.org/wiki/1990_oil_price_shock
2,1997-07-02,Asian Financial Crisis Begins,Economic / Demand Shock,"Currency collapse and deep demand destruction across Thailand, Indonesia, and South Korea cratered global oil demand expectations, contributing to a price collapse into 1998.",Decrease,https://www.ig.com/uk/commodities/oil/history-of-crude-oil-price
3,1997-11-26,OPEC Jakarta Meeting Quota Increase,OPEC Policy,"OPEC ministers meeting in Jakarta (Nov 26-Dec 1 1997) raised the official production ceiling from 25.03 to 27.5 million barrels/day, colliding with the Asian Financial Crisis and helping drive prices under $10/barrel by early 1999.",Decrease,https://www.sciencedirect.com/science/article/abs/pii/S1062976902001321
4,2001-09-11,September 11 Terrorist Attacks,Geopolitical Shock,"Attacks triggered aviation shutdowns and severe short-term macroeconomic uncertainty, contributing to weaker oil demand amid a broader global slowdown.",Decrease,https://www.congress.gov/crs_external_products/IN/PDF/IN11354/IN11354.1.pdf
5,2003-03-20,US-Led Invasion of Iraq,Geopolitical / Supply Risk,"Invasion raised fears over Middle Eastern supply disruption; combined with rising Asian demand, it contributed to the start of a multi-year price rally.",Increase,https://www.ig.com/sg/commodities/oil/history-of-crude-oil-price
6,2008-07-11,Oil Price Peaks Near $147/Barrel,Market Shock,"Brent/WTI reached a record intraday peak of $147.27/barrel, driven by strong global demand, tight spare capacity, and speculative investment, just before the global financial crisis hit.",Increase,https://www.ig.com/ae/commodities/oil/history-of-crude-oil-price
7,2008-09-15,Lehman Brothers Collapse / Global Financial Crisis,Economic Shock,"Lehman Brothers' bankruptcy triggered a global liquidity crisis and recession, crashing oil prices from their $147 peak into the $30s by December 2008.",Decrease,https://www.eia.gov/finance/markets/crudeoil/supply-opec.php
8,2014-11-27,OPEC Declines to Cut Production (Thanksgiving Meeting),OPEC Policy / Price War,"OPEC, led by Saudi Arabia, chose to maintain its ~30 million bpd output ceiling rather than cut in response to falling prices, prioritizing market share over price support and accelerating the 2014-2016 price collapse.",Decrease,https://www.cnbc.com/2014/11/27/saudi-oil-minister-says-opec-will-not-cut-oil-production-reuters.html
9,2016-12-10,Formation of OPEC+ (Declaration of Cooperation),OPEC Policy,"OPEC and 10 non-OPEC producers (notably Russia) signed the Declaration of Cooperation in Vienna, marking the first coordinated OPEC/non-OPEC production cut deal since 2001 and supporting a price recovery.",Increase,https://phenomenalworld.org/analysis/opec-plus/
10,2020-03-06,Collapse of Saudi-Russia OPEC+ Alliance,OPEC Policy / Price War,"Russia refused to join further OPEC production cuts amid collapsing pandemic-driven demand; Saudi Arabia retaliated with price discounts and a production increase, triggering a price war that sent prices from ~$50 to ~$10/barrel by month end.",Decrease,https://pmc.ncbi.nlm.nih.gov/articles/PMC8652835/
11,2020-03-11,WHO Declares COVID-19 a Pandemic,Economic / Demand Collapse,"Global lockdowns following the pandemic declaration destroyed a large share of global transportation fuel demand, compounding the ongoing Saudi-Russia price war.",Decrease,https://www.emiratesnbdresearch.com/en/articles/negative-oil-prices-reflect-a-distorted-market
12,2020-04-20,WTI Crude Futures Turn Negative,Market Shock,"A severe shortage of storage capacity at the Cushing, Oklahoma delivery hub caused the WTI May futures contract to briefly trade below zero (as low as -$37.63/barrel) for the first time in history.",Decrease,https://www.congress.gov/crs_external_products/IN/PDF/IN11354/IN11354.1.pdf
13,2022-02-24,Russian Invasion of Ukraine,Geopolitical / Supply Shock,"Invasion triggered sweeping Western sanctions on Russian energy exports and raised structural supply-security concerns, pushing Brent crude above $100-130/barrel.",Increase,https://oilprice.com/Energy/Energy-General/Oil-Surprisingly-Steady-Since-2020-Negative-Price-Disaster.html
